date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,importance,home_elo_before,away_elo_before,home_elo_after,away_elo_after
1886-03-13,Northern Ireland,England,1,6,British Home Championship,Belfast,Ireland,False,1.0,995.0126635473912,999.531287880081,994.5169986541881,1000.026952773284
1886-03-20,Northern Ireland,Scotland,2,7,British Home Championship,Belfast,Ireland,False,1.0,994.5169986541881,1009.3711527669464,994.0312460270167,1009.8569053941178
1886-03-27,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,False,1.0,1009.8569053941178,1000.026952773284,1009.8474755530617,1000.0363826143401
1886-03-29,Wales,England,1,3,British Home Championship,Wrexham,Wales,False,1.0,996.0848958055816,1000.0363826143401,995.5886868306924,1000.5325915892294
1886-04-10,Scotland,Wales,4,1,British Home Championship,Glasgow,Scotland,False,1.0,1009.8474755530617,995.5886868306924,1010.3337989345587,995.1023634491954
1886-11-25,United States,Canada,3,2,Friendly,Newark,United States,False,1.0,999.5,1000.5,1000.0009594092779,999.9990405907221
1887-02-05,England,Northern Ireland,7,0,British Home Championship,Sheffield,England,False,1.0,1000.5325915892294,994.0312460270167,1001.0263544538678,993.5374831623782
1887-02-19,Scotland,Northern Ireland,4,1,British Home Championship,Glasgow,Scotland,False,1.0,1010.3337989345587,993.5374831623782,1010.8176899507629,993.053592146174
1887-02-26,England,Wales,4,0,British Home Championship,London,England,False,1.0,1001.0263544538678,995.1023634491954,1001.5206711597384,994.6080467433248
1887-03-12,Northern Ireland,Wales,4,1,British Home Championship,Belfast,Ireland,False,1.0,993.053592146174,994.6080467433248,993.5550835017443,994.1065553877545
1887-03-19,England,Scotland,2,3,British Home Championship,Blackburn,England,False,1.0,1001.5206711597384,1010.8176899507629,1001.0295898706905,1011.3087712398108
1887-03-21,Wales,Scotland,0,2,British Home Championship,Wrexham,Wales,False,1.0,994.1065553877545,1011.3087712398108,993.6230533822687,1011.7922732452965
1888-02-04,England,Wales,5,1,British Home Championship,Crewe,England,False,1.0,1001.0295898706905,993.6230533822687,1001.5224844405135,993.1301588124458
1888-03-03,Wales,Northern Ireland,11,0,British Home Championship,Wrexham,Wales,False,1.0,993.1301588124458,993.5550835017443,993.6305664895451,993.054675824645
1888-03-10,Scotland,Wales,5,1,British Home Championship,Edinburgh,Scotland,False,1.0,1011.7922732452965,993.6305664895451,1012.2748557643043,993.1479839705373
1888-03-17,Scotland,England,0,5,British Home Championship,Glasgow,Scotland,False,1.0,1012.2748557643043,1001.5224844405135,1011.7645412903296,1002.0327989144882
1888-03-24,Northern Ireland,Scotland,2,10,British Home Championship,Belfast,Ireland,False,1.0,993.054675824645,1011.7645412903296,992.5726185572183,1012.2465985577562
1888-04-07,Northern Ireland,England,1,5,British Home Championship,Belfast,Ireland,False,1.0,992.5726185572183,1002.0327989144882,992.0816937563975,1002.5237237153091
1888-09-19,Scotland,Canada,4,0,Friendly,Glasgow,Scotland,False,1.0,1012.2465985577562,999.9990405907221,1012.734850285331,999.5107888631472
1889-02-23,England,Wales,4,1,British Home Championship,Stoke-on-Trent,England,False,1.0,1002.5237237153091,993.1479839705373,1003.0147295028851,992.6569781829613
1889-03-02,England,Northern Ireland,6,1,British Home Championship,Liverpool,England,False,1.0,1003.0147295028851,992.0816937563975,1003.504241772582,991.5921814867006
