year,date,round,home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_elo,away_elo,home_form,away_form,home_comp_form,away_comp_form,result
1998,1998-06-10,Group stage,Brazil,Scotland,2,1,,,2071.0,1810.0,0.1346,0.1895,1.1633,4.4358,1
1998,1998-06-10,Group stage,Morocco,Norway,2,2,,,1573.0,1817.0,11.7233,4.9875,12.5349,1.3643,0
1998,1998-06-11,Group stage,Italy,Chile,2,2,,,1991.0,1724.0,-1.4185,-0.2297,1.8403,-2.9075,0
1998,1998-06-11,Group stage,Cameroon,Austria,1,1,,,1663.0,1690.0,-0.6964,5.3154,1.0845,4.23,0
1998,1998-06-12,Group stage,Paraguay,Bulgaria,0,0,,,1843.0,1817.0,-9.0719,1.5036,-2.6496,3.4095,0
1998,1998-06-12,Group stage,Saudi Arabia,Denmark,0,1,,,1666.0,1968.0,-0.1794,-1.9779,2.6528,0.3783,-1
1998,1998-06-12,Group stage,France,South Africa,3,0,,,2038.0,1728.0,-0.5612,-5.263,-0.7719,-1.7027,1
1998,1998-06-13,Group stage,Spain,Nigeria,2,3,,,1988.0,1622.0,4.4441,-0.6511,4.7272,7.827,-1
1998,1998-06-13,Group stage,South Korea,Mexico,1,3,,,1672.0,1814.0,2.5068,1.4579,8.6483,1.3382,-1
1998,1998-06-13,Group stage,Netherlands,Belgium,0,0,,,1926.0,1767.0,1.204,4.8166,-0.7217,2.8165,0
1998,1998-06-14,Group stage,Argentina,Japan,1,0,,,1807.0,1707.0,4.7451,0.881,2.5437,2.479,1
1998,1998-06-14,Group stage,Serbia,Iran,1,0,,,1953.0,1536.0,1.7124,1.8877,2.0398,4.3706,1
1998,1998-06-14,Group stage,Jamaica,Croatia,1,3,,,1558.0,1874.0,3.3913,0.151,7.7605,1.3359,-1
1998,1998-06-15,Group stage,England,Tunisia,2,0,,,1872.0,1621.0,4.3002,3.4027,6.7126,3.4664,1
1998,1998-06-15,Group stage,Romania,Colombia,1,0,,,1865.0,1839.0,0.4493,-7.7108,0.4991,-3.9779,1
1998,1998-06-15,Group stage,Germany,United States,2,0,,,2084.0,1743.0,-1.289,6.2601,3.5036,4.0765,1
1998,1998-06-16,Group stage,Scotland,Norway,1,1,,,1810.0,1817.0,0.1895,4.9875,4.4358,1.3643,0
1998,1998-06-16,Group stage,Brazil,Morocco,3,0,,,2071.0,1573.0,0.1346,11.7233,1.1633,12.5349,1
1998,1998-06-17,Group stage,Chile,Austria,1,1,,,1724.0,1690.0,-0.2297,5.3154,-2.9075,4.23,0
1998,1998-06-17,Group stage,Italy,Cameroon,3,0,,,1991.0,1663.0,-1.4185,-0.6964,1.8403,1.0845,1
1998,1998-06-18,Group stage,South Africa,Denmark,1,1,,,1728.0,1968.0,-5.263,-1.9779,-1.7027,0.3783,0
1998,1998-06-18,Group stage,France,Saudi Arabia,4,0,,,2038.0,1666.0,-0.5612,-0.1794,-0.7719,2.6528,1
1998,1998-06-19,Group stage,Nigeria,Bulgaria,1,0,,,1622.0,1817.0,-0.6511,1.5036,7.827,3.4095,1
1998,1998-06-19,Group stage,Spain,Paraguay,0,0,,,1988.0,1843.0,4.4441,-9.0719,4.7272,-2.6496,0
1998,1998-06-20,Group stage,Japan,Croatia,0,1,,,1707.0,1874.0,0.881,0.151,2.479,1.3359,-1
1998,1998-06-20,Group stage,Belgium,Mexico,2,2,,,1767.0,1814.0,4.8166,1.4579,2.8165,1.3382,0
1998,1998-06-20,Group stage,Netherlands,South Korea,5,0,,,1926.0,1672.0,1.204,2.5068,-0.7217,8.6483,1
1998,1998-06-21,Group stage,Germany,Serbia,2,2,,,2084.0,1953.0,-1.289,1.7124,3.5036,2.0398,0
1998,1998-06-21,Group stage,Argentina,Jamaica,5,0,,,1807.0,1558.0,4.7451,3.3913,2.5437,7.7605,1
1998,1998-06-21,Group stage,United States,Iran,1,2,,,1743.0,1536.0,6.2601,1.8877,4.0765,4.3706,-1
1998,1998-06-22,Group stage,Colombia,Tunisia,1,0,,,1839.0,1621.0,-7.7108,3.4027,-3.9779,3.4664,1
1998,1998-06-22,Group stage,Romania,England,2,1,,,1865.0,1872.0,0.4493,4.3002,0.4991,6.7126,1
1998,1998-06-23,Group stage,Italy,Austria,2,1,,,1991.0,1690.0,-1.4185,5.3154,1.8403,4.23,1
1998,1998-06-23,Group stage,Chile,Cameroon,1,1,,,1724.0,1663.0,-0.2297,-0.6964,-2.9075,1.0845,0
1998,1998-06-23,Group stage,Brazil,Norway,1,2,,,2071.0,1817.0,0.1346,4.9875,1.1633,1.3643,-1
1998,1998-06-23,Group stage,Scotland,Morocco,0,3,,,1810.0,1573.0,0.1895,11.7233,4.4358,12.5349,-1
1998,1998-06-24,Group stage,South Africa,Saudi Arabia,2,2,,,1728.0,1666.0,-5.263,-0.1794,-1.7027,2.6528,0
1998,1998-06-24,Group stage,France,Denmark,2,1,,,2038.0,1968.0,-0.5612,-1.9779,-0.7719,0.3783,1
1998,1998-06-24,Group stage,Spain,Bulgaria,6,1,,,1988.0,1817.0,4.4441,1.5036,4.7272,3.4095,1
1998,1998-06-24,Group stage,Nigeria,Paraguay,1,3,,,1622.0,1843.0,-0.6511,-9.0719,7.827,-2.6496,-1
1998,1998-06-25,Group stage,Netherlands,Mexico,2,2,,,1926.0,1814.0,1.204,1.4579,-0.7217,1.3382,0
1998,1998-06-25,Group stage,Belgium,South Korea,1,1,,,1767.0,1672.0,4.8166,2.5068,2.8165,8.6483,0
1998,1998-06-25,Group stage,United States,Serbia,0,1,,,1743.0,1953.0,6.2601,1.7124,4.0765,2.0398,-1
1998,1998-06-25,Group stage,Germany,Iran,2,0,,,2084.0,1536.0,-1.289,1.8877,3.5036,4.3706,1
1998,1998-06-26,Group stage,Argentina,Croatia,1,0,,,1807.0,1874.0,4.7451,0.151,2.5437,1.3359,1
1998,1998-06-26,Group stage,Japan,Jamaica,1,2,,,1707.0,1558.0,0.881,3.3913,2.479,7.7605,-1
1998,1998-06-26,Group stage,Romania,Tunisia,1,1,,,1865.0,1621.0,0.4493,3.4027,0.4991,3.4664,0
1998,1998-06-26,Group stage,Colombia,England,0,2,,,1839.0,1872.0,-7.7108,4.3002,-3.9779,6.7126,-1
1998,1998-06-27,Round of 16,Italy,Norway,1,0,,,1991.0,1817.0,-1.4185,4.9875,1.8403,1.3643,1
1998,1998-06-27,Round of 16,Brazil,Chile,4,1,,,2071.0,1724.0,0.1346,-0.2297,1.1633,-2.9075,1
1998,1998-06-28,Round of 16,France,Paraguay,1,0,,,2038.0,1843.0,-0.5612,-9.0719,-0.7719,-2.6496,1
1998,1998-06-28,Round of 16,Nigeria,Denmark,1,4,,,1622.0,1968.0,-0.6511,-1.9779,7.827,0.3783,-1
1998,1998-06-29,Round of 16,Germany,Mexico,2,1,,,2084.0,1814.0,-1.289,1.4579,3.5036,1.3382,1
1998,1998-06-29,Round of 16,Netherlands,Serbia,2,1,,,1926.0,1953.0,1.204,1.7124,-0.7217,2.0398,1
1998,1998-06-30,Round of 16,Romania,Croatia,0,1,,,1865.0,1874.0,0.4493,0.151,0.4991,1.3359,-1
1998,1998-06-30,Round of 16,Argentina,England,2,2,4.0,3.0,1807.0,1872.0,4.7451,4.3002,2.5437,6.7126,0
1998,1998-07-03,Quarter-finals,Italy,France,0,0,3.0,4.0,1991.0,2038.0,-1.4185,-0.5612,1.8403,-0.7719,0
1998,1998-07-03,Quarter-finals,Brazil,Denmark,3,2,,,2071.0,1968.0,0.1346,-1.9779,1.1633,0.3783,1
1998,1998-07-04,Quarter-finals,Netherlands,Argentina,2,1,,,1926.0,1807.0,1.204,4.7451,-0.7217,2.5437,1
1998,1998-07-04,Quarter-finals,Germany,Croatia,0,3,,,2084.0,1874.0,-1.289,0.151,3.5036,1.3359,-1
1998,1998-07-07,Semi-finals,Brazil,Netherlands,1,1,4.0,2.0,2071.0,1926.0,0.1346,1.204,1.1633,-0.7217,0
1998,1998-07-08,Semi-finals,France,Croatia,2,1,,,2038.0,1874.0,-0.5612,0.151,-0.7719,1.3359,1
1998,1998-07-11,Third-place match,Netherlands,Croatia,1,2,,,1926.0,1874.0,1.204,0.151,-0.7217,1.3359,-1
1998,1998-07-12,Final,Brazil,France,0,3,,,2071.0,2038.0,0.1346,-0.5612,1.1633,-0.7719,-1
2002,2002-05-31,Group stage,France,Senegal,0,1,,,2112.0,1540.0,-0.1649,11.5382,1.8019,9.8059,-1
2002,2002-06-01,Group stage,Republic of Ireland,Cameroon,1,1,,,1872.0,1663.0,4.7539,5.1925,1.3588,9.2944,0
