year,date,round,home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_elo,away_elo,home_form,away_form,home_comp_form,away_comp_form,result
1998,1998-06-10,Group stage,Brazil,Scotland,2,1,,,2071.0,1810.0,-2.502,-0.5234,-4.6182,1.2119,1
1998,1998-06-10,Group stage,Morocco,Norway,2,2,,,1573.0,1817.0,-1.2697,1.6495,1.9667,0.7686,0
1998,1998-06-11,Group stage,Italy,Chile,2,2,,,1991.0,1724.0,0.8762,0.1082,-0.041,-0.1901,0
1998,1998-06-11,Group stage,Cameroon,Austria,1,1,,,1663.0,1690.0,0.9557,0.2006,0.4537,3.9883,0
1998,1998-06-12,Group stage,Paraguay,Bulgaria,0,0,,,1843.0,1817.0,-2.0454,-1.1092,-1.0082,2.0356,0
1998,1998-06-12,Group stage,Saudi Arabia,Denmark,0,1,,,1666.0,1968.0,-0.0584,-2.2628,0.9295,-0.6623,-1
1998,1998-06-12,Group stage,France,South Africa,3,0,,,2038.0,1728.0,-0.7878,-1.2116,-0.7627,0.4686,1
1998,1998-06-13,Group stage,Spain,Nigeria,2,3,,,1988.0,1622.0,0.0994,-0.2448,1.8481,0.4486,-1
1998,1998-06-13,Group stage,South Korea,Mexico,1,3,,,1672.0,1814.0,0.1354,-0.2478,0.3577,3.1114,-1
1998,1998-06-13,Group stage,Netherlands,Belgium,0,0,,,1926.0,1767.0,1.1511,1.0722,-1.1818,1.6877,0
1998,1998-06-14,Group stage,Argentina,Japan,1,0,,,1807.0,1707.0,2.273,-0.9077,2.662,0.3014,1
1998,1998-06-14,Group stage,Serbia,Iran,1,0,,,1953.0,1536.0,0.4309,0.1485,0.4475,0.0501,1
1998,1998-06-14,Group stage,Jamaica,Croatia,1,3,,,1558.0,1874.0,-1.2006,1.3387,3.1742,0.5769,-1
1998,1998-06-15,Group stage,England,Tunisia,2,0,,,1872.0,1621.0,0.2247,-1.2297,0.1894,0.912,1
1998,1998-06-15,Group stage,Romania,Colombia,1,0,,,1865.0,1839.0,0.0482,-0.8466,1.8208,0.5992,1
1998,1998-06-15,Group stage,Germany,United States,2,0,,,2084.0,1743.0,-0.4581,0.838,-0.7858,4.3765,1
1998,1998-06-16,Group stage,Scotland,Norway,1,1,,,1810.0,1817.0,-0.5234,1.6495,1.2119,0.7686,0
1998,1998-06-16,Group stage,Brazil,Morocco,3,0,,,2071.0,1573.0,-2.502,-1.2697,-4.6182,1.9667,1
1998,1998-06-17,Group stage,Chile,Austria,1,1,,,1724.0,1690.0,0.1082,0.2006,-0.1901,3.9883,0
1998,1998-06-17,Group stage,Italy,Cameroon,3,0,,,1991.0,1663.0,0.8762,0.9557,-0.041,0.4537,1
1998,1998-06-18,Group stage,South Africa,Denmark,1,1,,,1728.0,1968.0,-1.2116,-2.2628,0.4686,-0.6623,0
1998,1998-06-18,Group stage,France,Saudi Arabia,4,0,,,2038.0,1666.0,-0.7878,-0.0584,-0.7627,0.9295,1
1998,1998-06-19,Group stage,Nigeria,Bulgaria,1,0,,,1622.0,1817.0,-0.2448,-1.1092,0.4486,2.0356,1
