team,elo,form,comp_form
Spain,2171.0,1.3953,5.9595
Argentina,2113.0,0.4552,0.5997
France,2062.0,0.8658,-0.8655
England,2042.0,0.3857,1.6423
Colombia,1998.0,-4.1151,0.7077
Brazil,1979.0,0.3164,-4.1409
Portugal,1976.0,2.2987,-0.2952
Netherlands,1959.0,-0.0033,-1.4298
Ecuador,1933.0,2.7775,2.1772
Croatia,1933.0,1.0238,-0.5925
Norway,1922.0,3.8765,2.809
Germany,1910.0,3.0772,3.5748
Switzerland,1897.0,-0.163,-0.4915
Uruguay,1890.0,-2.5898,2.9937
Turkey,1880.0,4.5016,3.9618
Japan,1878.0,2.4735,0.969
Belgium,1849.0,-0.6989,-4.3965
Mexico,1835.0,5.3584,5.8083
Paraguay,1833.0,4.5514,1.7751
Morocco,1830.0,7.3844,8.531
Austria,1818.0,-0.8784,0.7839
Senegal,1803.0,3.2766,4.3162
Canada,1802.0,1.4751,-0.3763
Scotland,1790.0,1.4702,-0.9336
South Korea,1784.0,2.3343,0.1837
Australia,1774.0,0.036,1.723
Iran,1754.0,1.8228,2.0479
United States,1747.0,1.7743,1.6529
Panama,1742.0,1.3451,4.27
Uzbekistan,1735.0,0.3775,2.3709
Czech Republic,1731.0,1.9619,-1.1281
Algeria,1726.0,4.4712,5.1814
Jordan,1687.0,1.4886,5.8539
Sweden,1660.0,2.3627,-0.3423
Tunisia,1641.0,-0.8935,-3.3143
DR Congo,1616.0,3.3693,4.9588
Saudi Arabia,1612.0,-1.0262,-2.813
Ivory Coast,1607.0,4.48,1.6943
Egypt,1591.0,4.3413,3.5069
New Zealand,1586.0,0.4453,4.073
Iraq,1582.0,-0.8478,-0.1016
Bosnia and Herzegovina,1571.0,3.2034,-0.6367
Cape Verde,1560.0,-1.3935,-0.3211
Haiti,1542.0,-1.3857,-1.3768
South Africa,1531.0,1.5587,3.2775
Ghana,1509.0,-1.9657,-0.8177
Curaçao,1467.0,2.0366,3.6605
Qatar,1427.0,-1.5722,-1.1939
