group,home_team,away_team,home_elo,home_form,home_comp_form,away_elo,away_form,away_comp_form,elo_diff,form_diff,comp_form_diff
D,Turkey,Australia,1880.0,4.5016,3.9618,1774.0,0.036,1.723,106.0,4.4656,2.2388000000000003
D,Paraguay,Australia,1833.0,4.5514,1.7751,1774.0,0.036,1.723,59.0,4.5154000000000005,0.05209999999999981
E,Germany,Ecuador,1910.0,3.0772,3.5748,1933.0,2.7775,2.1772,-23.0,0.2997000000000001,1.3976000000000002
E,Germany,Ivory Coast,1910.0,3.0772,3.5748,1607.0,4.48,1.6943,303.0,-1.4028000000000005,1.8805000000000003
E,Germany,Curaçao,1910.0,3.0772,3.5748,1467.0,2.0366,3.6605,443.0,1.0406,-0.08569999999999967
E,Ecuador,Ivory Coast,1933.0,2.7775,2.1772,1607.0,4.48,1.6943,326.0,-1.7025000000000006,0.4829000000000001
E,Ecuador,Curaçao,1933.0,2.7775,2.1772,1467.0,2.0366,3.6605,466.0,0.7408999999999999,-1.4832999999999998
E,Ivory Coast,Curaçao,1607.0,4.48,1.6943,1467.0,2.0366,3.6605,140.0,2.4434000000000005,-1.9662
F,Japan,Netherlands,1878.0,2.4735,0.969,1959.0,-0.0033,-1.4298,-81.0,2.4768,2.3988
F,Japan,Tunisia,1878.0,2.4735,0.969,1641.0,-0.8935,-3.3143,237.0,3.367,4.2833
F,Japan,Sweden,1878.0,2.4735,0.969,1660.0,2.3627,-0.3423,218.0,0.11080000000000023,1.3113
F,Netherlands,Tunisia,1959.0,-0.0033,-1.4298,1641.0,-0.8935,-3.3143,318.0,0.8902,1.8844999999999998
F,Netherlands,Sweden,1959.0,-0.0033,-1.4298,1660.0,2.3627,-0.3423,299.0,-2.3659999999999997,-1.0875
F,Tunisia,Sweden,1641.0,-0.8935,-3.3143,1660.0,2.3627,-0.3423,-19.0,-3.2561999999999998,-2.972
G,Belgium,Iran,1849.0,-0.6989,-4.3965,1754.0,1.8228,2.0479,95.0,-2.5217,-6.4444
G,Belgium,Egypt,1849.0,-0.6989,-4.3965,1591.0,4.3413,3.5069,258.0,-5.0402000000000005,-7.9033999999999995
G,Belgium,New Zealand,1849.0,-0.6989,-4.3965,1586.0,0.4453,4.073,263.0,-1.1441999999999999,-8.4695
G,Iran,Egypt,1754.0,1.8228,2.0479,1591.0,4.3413,3.5069,163.0,-2.5185000000000004,-1.459
G,Iran,New Zealand,1754.0,1.8228,2.0479,1586.0,0.4453,4.073,168.0,1.3775,-2.0251000000000006
G,Egypt,New Zealand,1591.0,4.3413,3.5069,1586.0,0.4453,4.073,5.0,3.8960000000000004,-0.5661000000000005
H,Spain,Uruguay,2171.0,1.3953,5.9595,1890.0,-2.5898,2.9937,281.0,3.9851,2.9658
H,Spain,Saudi Arabia,2171.0,1.3953,5.9595,1612.0,-1.0262,-2.813,559.0,2.4215,8.7725
H,Spain,Cape Verde,2171.0,1.3953,5.9595,1560.0,-1.3935,-0.3211,611.0,2.7888,6.280600000000001
H,Uruguay,Saudi Arabia,1890.0,-2.5898,2.9937,1612.0,-1.0262,-2.813,278.0,-1.5635999999999999,5.8067
H,Uruguay,Cape Verde,1890.0,-2.5898,2.9937,1560.0,-1.3935,-0.3211,330.0,-1.1963,3.3148
H,Saudi Arabia,Cape Verde,1612.0,-1.0262,-2.813,1560.0,-1.3935,-0.3211,52.0,0.36729999999999996,-2.4919000000000002
I,France,Senegal,2062.0,0.8658,-0.8655,1803.0,3.2766,4.3162,259.0,-2.4108,-5.1817
I,France,Norway,2062.0,0.8658,-0.8655,1922.0,3.8765,2.809,140.0,-3.0107,-3.6745
I,France,Iraq,2062.0,0.8658,-0.8655,1582.0,-0.8478,-0.1016,480.0,1.7136,-0.7639
I,Senegal,Norway,1803.0,3.2766,4.3162,1922.0,3.8765,2.809,-119.0,-0.5998999999999999,1.5072
I,Senegal,Iraq,1803.0,3.2766,4.3162,1582.0,-0.8478,-0.1016,221.0,4.1244000000000005,4.417800000000001
I,Norway,Iraq,1922.0,3.8765,2.809,1582.0,-0.8478,-0.1016,340.0,4.7243,2.9106
J,Argentina,Austria,2113.0,0.4552,0.5997,1818.0,-0.8784,0.7839,295.0,1.3336,-0.18420000000000003
J,Argentina,Algeria,2113.0,0.4552,0.5997,1726.0,4.4712,5.1814,387.0,-4.016,-4.5817
J,Argentina,Jordan,2113.0,0.4552,0.5997,1687.0,1.4886,5.8539,426.0,-1.0333999999999999,-5.2542
J,Austria,Algeria,1818.0,-0.8784,0.7839,1726.0,4.4712,5.1814,92.0,-5.3496,-4.3975
J,Austria,Jordan,1818.0,-0.8784,0.7839,1687.0,1.4886,5.8539,131.0,-2.367,-5.07
J,Algeria,Jordan,1726.0,4.4712,5.1814,1687.0,1.4886,5.8539,39.0,2.9825999999999997,-0.6725000000000003
K,Portugal,Colombia,1976.0,2.2987,-0.2952,1998.0,-4.1151,0.7077,-22.0,6.4138,-1.0029
K,Portugal,Uzbekistan,1976.0,2.2987,-0.2952,1735.0,0.3775,2.3709,241.0,1.9212000000000002,-2.6660999999999997
K,Portugal,DR Congo,1976.0,2.2987,-0.2952,1616.0,3.3693,4.9588,360.0,-1.0705999999999998,-5.2540000000000004
K,Colombia,Uzbekistan,1998.0,-4.1151,0.7077,1735.0,0.3775,2.3709,263.0,-4.4926,-1.6631999999999998
K,Colombia,DR Congo,1998.0,-4.1151,0.7077,1616.0,3.3693,4.9588,382.0,-7.4844,-4.2511
K,Uzbekistan,DR Congo,1735.0,0.3775,2.3709,1616.0,3.3693,4.9588,119.0,-2.9918,-2.5879000000000003
L,England,Croatia,2042.0,0.3857,1.6423,1933.0,1.0238,-0.5925,109.0,-0.6381000000000001,2.2348
L,England,Ghana,2042.0,0.3857,1.6423,1509.0,-1.9657,-0.8177,533.0,2.3514,2.46
L,England,Panama,2042.0,0.3857,1.6423,1742.0,1.3451,4.27,300.0,-0.9594,-2.6276999999999995
L,Croatia,Ghana,1933.0,1.0238,-0.5925,1509.0,-1.9657,-0.8177,424.0,2.9895,0.22519999999999996
L,Croatia,Panama,1933.0,1.0238,-0.5925,1742.0,1.3451,4.27,191.0,-0.3212999999999999,-4.8625
L,Ghana,Panama,1509.0,-1.9657,-0.8177,1742.0,1.3451,4.27,-233.0,-3.3108,-5.0877
