group,home_team,away_team,home_elo,home_form,home_comp_form,away_elo,away_form,away_comp_form,elo_diff,form_diff,comp_form_diff
A,Mexico,South Korea,1835.0,5.3584,5.8083,1784.0,2.3343,0.1837,51.0,3.0241,5.6246
A,Mexico,Czech Republic,1835.0,5.3584,5.8083,1731.0,1.9619,-1.1281,104.0,3.3964999999999996,6.9364
A,Mexico,South Africa,1835.0,5.3584,5.8083,1531.0,1.5587,3.2775,304.0,3.7996999999999996,2.5308
A,South Korea,Czech Republic,1784.0,2.3343,0.1837,1731.0,1.9619,-1.1281,53.0,0.37239999999999984,1.3118
A,South Korea,South Africa,1784.0,2.3343,0.1837,1531.0,1.5587,3.2775,253.0,0.7755999999999998,-3.0938
A,Czech Republic,South Africa,1731.0,1.9619,-1.1281,1531.0,1.5587,3.2775,200.0,0.4032,-4.4056
B,Canada,Switzerland,1802.0,1.4751,-0.3763,1897.0,-0.163,-0.4915,-95.0,1.6381000000000001,0.11519999999999997
B,Canada,Bosnia and Herzegovina,1802.0,1.4751,-0.3763,1571.0,3.2034,-0.6367,231.0,-1.7282999999999997,0.2604
B,Canada,Qatar,1802.0,1.4751,-0.3763,1427.0,-1.5722,-1.1939,375.0,3.0473,0.8175999999999999
B,Switzerland,Bosnia and Herzegovina,1897.0,-0.163,-0.4915,1571.0,3.2034,-0.6367,326.0,-3.3663999999999996,0.14520000000000005
B,Switzerland,Qatar,1897.0,-0.163,-0.4915,1427.0,-1.5722,-1.1939,470.0,1.4092,0.7023999999999999
B,Bosnia and Herzegovina,Qatar,1571.0,3.2034,-0.6367,1427.0,-1.5722,-1.1939,144.0,4.7756,0.5571999999999999
C,Brazil,Morocco,1979.0,0.3164,-4.1409,1830.0,7.3844,8.531,149.0,-7.0680000000000005,-12.6719
C,Brazil,Scotland,1979.0,0.3164,-4.1409,1790.0,1.4702,-0.9336,189.0,-1.1538,-3.2073
C,Brazil,Haiti,1979.0,0.3164,-4.1409,1542.0,-1.3857,-1.3768,437.0,1.7021,-2.7641
C,Morocco,Scotland,1830.0,7.3844,8.531,1790.0,1.4702,-0.9336,40.0,5.9142,9.4646
C,Morocco,Haiti,1830.0,7.3844,8.531,1542.0,-1.3857,-1.3768,288.0,8.7701,9.9078
C,Scotland,Haiti,1790.0,1.4702,-0.9336,1542.0,-1.3857,-1.3768,248.0,2.8559,0.44320000000000004
D,United States,Turkey,1747.0,1.7743,1.6529,1880.0,4.5016,3.9618,-133.0,-2.7272999999999996,-2.3089000000000004
D,United States,Paraguay,1747.0,1.7743,1.6529,1833.0,4.5514,1.7751,-86.0,-2.7771,-0.12219999999999986
D,United States,Australia,1747.0,1.7743,1.6529,1774.0,0.036,1.723,-27.0,1.7383,-0.07010000000000005
D,Turkey,Paraguay,1880.0,4.5016,3.9618,1833.0,4.5514,1.7751,47.0,-0.04980000000000029,2.1867
