year,date,round,home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_elo,away_elo,home_form,away_form,home_comp_form,away_comp_form,result
1998,1998-06-10,Group stage,Brazil,Scotland,2,1,,,2071.0,1810.0,-1.2531,0.6729,2.8562,2.8294,1
1998,1998-06-10,Group stage,Morocco,Norway,2,2,,,1573.0,1817.0,5.8798,3.2285,10.9616,2.3753,0
1998,1998-06-11,Group stage,Italy,Chile,2,2,,,1991.0,1724.0,0.593,1.3863,-0.7315,-2.6558,0
1998,1998-06-11,Group stage,Cameroon,Austria,1,1,,,1663.0,1690.0,-0.0876,4.8241,0.6554,5.4956,0
1998,1998-06-12,Group stage,Paraguay,Bulgaria,0,0,,,1843.0,1817.0,-5.7177,-0.495,-4.4577,-0.2154,0
1998,1998-06-12,Group stage,Saudi Arabia,Denmark,0,1,,,1666.0,1968.0,1.7646,0.5012,2.1574,-0.2182,-1
1998,1998-06-12,Group stage,France,South Africa,3,0,,,2038.0,1728.0,0.3043,-6.0908,1.7318,-4.1146,1
1998,1998-06-13,Group stage,Spain,Nigeria,2,3,,,1988.0,1622.0,3.3035,-1.4993,4.677,2.4326,-1
1998,1998-06-13,Group stage,South Korea,Mexico,1,3,,,1672.0,1814.0,0.9292,2.2161,7.0626,0.4408,-1
1998,1998-06-13,Group stage,Netherlands,Belgium,0,0,,,1926.0,1767.0,1.937,4.0928,1.9878,2.1976,0
1998,1998-06-14,Group stage,Argentina,Japan,1,0,,,1807.0,1707.0,3.2537,2.2669,2.949,1.7081,1
1998,1998-06-14,Group stage,Serbia,Iran,1,0,,,1953.0,1536.0,-0.3258,0.6165,2.5124,1.9956,1
1998,1998-06-14,Group stage,Jamaica,Croatia,1,3,,,1558.0,1874.0,2.8095,1.0032,8.4555,-0.8513,-1
1998,1998-06-15,Group stage,England,Tunisia,2,0,,,1872.0,1621.0,3.1577,2.4424,4.7942,3.6574,1
1998,1998-06-15,Group stage,Romania,Colombia,1,0,,,1865.0,1839.0,3.7279,-4.1541,-0.4891,-7.6874,1
1998,1998-06-15,Group stage,Germany,United States,2,0,,,2084.0,1743.0,-0.2183,6.2459,0.9137,4.8199,1
1998,1998-06-16,Group stage,Scotland,Norway,1,1,,,1810.0,1817.0,0.6729,3.2285,2.8294,2.3753,0
1998,1998-06-16,Group stage,Brazil,Morocco,3,0,,,2071.0,1573.0,-1.2531,5.8798,2.8562,10.9616,1
1998,1998-06-17,Group stage,Chile,Austria,1,1,,,1724.0,1690.0,1.3863,4.8241,-2.6558,5.4956,0
1998,1998-06-17,Group stage,Italy,Cameroon,3,0,,,1991.0,1663.0,0.593,-0.0876,-0.7315,0.6554,1
1998,1998-06-18,Group stage,South Africa,Denmark,1,1,,,1728.0,1968.0,-6.0908,0.5012,-4.1146,-0.2182,0
1998,1998-06-18,Group stage,France,Saudi Arabia,4,0,,,2038.0,1666.0,0.3043,1.7646,1.7318,2.1574,1
1998,1998-06-19,Group stage,Nigeria,Bulgaria,1,0,,,1622.0,1817.0,-1.4993,-0.495,2.4326,-0.2154,1
1998,1998-06-19,Group stage,Spain,Paraguay,0,0,,,1988.0,1843.0,3.3035,-5.7177,4.677,-4.4577,0
1998,1998-06-20,Group stage,Japan,Croatia,0,1,,,1707.0,1874.0,2.2669,1.0032,1.7081,-0.8513,-1
1998,1998-06-20,Group stage,Belgium,Mexico,2,2,,,1767.0,1814.0,4.0928,2.2161,2.1976,0.4408,0
1998,1998-06-20,Group stage,Netherlands,South Korea,5,0,,,1926.0,1672.0,1.937,0.9292,1.9878,7.0626,1
1998,1998-06-21,Group stage,Germany,Serbia,2,2,,,2084.0,1953.0,-0.2183,-0.3258,0.9137,2.5124,0
1998,1998-06-21,Group stage,Argentina,Jamaica,5,0,,,1807.0,1558.0,3.2537,2.8095,2.949,8.4555,1
1998,1998-06-21,Group stage,United States,Iran,1,2,,,1743.0,1536.0,6.2459,0.6165,4.8199,1.9956,-1
1998,1998-06-22,Group stage,Colombia,Tunisia,1,0,,,1839.0,1621.0,-4.1541,2.4424,-7.6874,3.6574,1
1998,1998-06-22,Group stage,Romania,England,2,1,,,1865.0,1872.0,3.7279,3.1577,-0.4891,4.7942,1
1998,1998-06-23,Group stage,Italy,Austria,2,1,,,1991.0,1690.0,0.593,4.8241,-0.7315,5.4956,1
1998,1998-06-23,Group stage,Chile,Cameroon,1,1,,,1724.0,1663.0,1.3863,-0.0876,-2.6558,0.6554,0
1998,1998-06-23,Group stage,Brazil,Norway,1,2,,,2071.0,1817.0,-1.2531,3.2285,2.8562,2.3753,-1
1998,1998-06-23,Group stage,Scotland,Morocco,0,3,,,1810.0,1573.0,0.6729,5.8798,2.8294,10.9616,-1
1998,1998-06-24,Group stage,South Africa,Saudi Arabia,2,2,,,1728.0,1666.0,-6.0908,1.7646,-4.1146,2.1574,0
1998,1998-06-24,Group stage,France,Denmark,2,1,,,2038.0,1968.0,0.3043,0.5012,1.7318,-0.2182,1
1998,1998-06-24,Group stage,Spain,Bulgaria,6,1,,,1988.0,1817.0,3.3035,-0.495,4.677,-0.2154,1
1998,1998-06-24,Group stage,Nigeria,Paraguay,1,3,,,1622.0,1843.0,-1.4993,-5.7177,2.4326,-4.4577,-1
1998,1998-06-25,Group stage,Netherlands,Mexico,2,2,,,1926.0,1814.0,1.937,2.2161,1.9878,0.4408,0
1998,1998-06-25,Group stage,Belgium,South Korea,1,1,,,1767.0,1672.0,4.0928,0.9292,2.1976,7.0626,0
1998,1998-06-25,Group stage,United States,Serbia,0,1,,,1743.0,1953.0,6.2459,-0.3258,4.8199,2.5124,-1
1998,1998-06-25,Group stage,Germany,Iran,2,0,,,2084.0,1536.0,-0.2183,0.6165,0.9137,1.9956,1
1998,1998-06-26,Group stage,Argentina,Croatia,1,0,,,1807.0,1874.0,3.2537,1.0032,2.949,-0.8513,1
1998,1998-06-26,Group stage,Japan,Jamaica,1,2,,,1707.0,1558.0,2.2669,2.8095,1.7081,8.4555,-1
1998,1998-06-26,Group stage,Romania,Tunisia,1,1,,,1865.0,1621.0,3.7279,2.4424,-0.4891,3.6574,0
1998,1998-06-26,Group stage,Colombia,England,0,2,,,1839.0,1872.0,-4.1541,3.1577,-7.6874,4.7942,-1
1998,1998-06-27,Round of 16,Italy,Norway,1,0,,,1991.0,1817.0,0.593,3.2285,-0.7315,2.3753,1
1998,1998-06-27,Round of 16,Brazil,Chile,4,1,,,2071.0,1724.0,-1.2531,1.3863,2.8562,-2.6558,1
1998,1998-06-28,Round of 16,France,Paraguay,1,0,,,2038.0,1843.0,0.3043,-5.7177,1.7318,-4.4577,1
1998,1998-06-28,Round of 16,Nigeria,Denmark,1,4,,,1622.0,1968.0,-1.4993,0.5012,2.4326,-0.2182,-1
1998,1998-06-29,Round of 16,Germany,Mexico,2,1,,,2084.0,1814.0,-0.2183,2.2161,0.9137,0.4408,1
