year,date,round,home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_elo,away_elo,home_form,away_form,home_comp_form,away_comp_form,result
1998,1998-06-27,Round of 16,Italy,Norway,1,0,,,1991.0,1817.0,-0.6358,3.8929,-0.5215,0.9287,1
1998,1998-06-27,Round of 16,Brazil,Chile,4,1,,,2071.0,1724.0,-2.427,1.0923,-1.4076,-1.8061,1
1998,1998-06-28,Round of 16,France,Paraguay,1,0,,,2038.0,1843.0,-0.0533,-2.1629,0.4855,-6.6146,1
1998,1998-06-28,Round of 16,Nigeria,Denmark,1,4,,,1622.0,1968.0,-1.3814,-2.5659,-0.5884,-0.8179,-1
1998,1998-06-29,Round of 16,Germany,Mexico,2,1,,,2084.0,1814.0,0.2459,2.1973,-1.5716,1.4416,1
1998,1998-06-29,Round of 16,Netherlands,Serbia,2,1,,,1926.0,1953.0,0.222,0.1114,-0.6989,2.2278,1
1998,1998-06-30,Round of 16,Romania,Croatia,0,1,,,1865.0,1874.0,1.107,0.7601,3.9918,0.256,-1
1998,1998-06-30,Round of 16,Argentina,England,2,2,4.0,3.0,1807.0,1872.0,2.6353,-0.0562,2.5024,2.0686,0
1998,1998-07-03,Quarter-finals,Italy,France,0,0,3.0,4.0,1991.0,2038.0,-0.6358,-0.0533,-0.5215,0.4855,0
1998,1998-07-03,Quarter-finals,Brazil,Denmark,3,2,,,2071.0,1968.0,-2.427,-2.5659,-1.4076,-0.8179,1
1998,1998-07-04,Quarter-finals,Netherlands,Argentina,2,1,,,1926.0,1807.0,0.222,2.6353,-0.6989,2.5024,1
1998,1998-07-04,Quarter-finals,Germany,Croatia,0,3,,,2084.0,1874.0,0.2459,0.7601,-1.5716,0.256,-1
1998,1998-07-07,Semi-finals,Brazil,Netherlands,1,1,4.0,2.0,2071.0,1926.0,-2.427,0.222,-1.4076,-0.6989,0
1998,1998-07-08,Semi-finals,France,Croatia,2,1,,,2038.0,1874.0,-0.0533,0.7601,0.4855,0.256,1
1998,1998-07-11,Third-place match,Netherlands,Croatia,1,2,,,1926.0,1874.0,0.222,0.7601,-0.6989,0.256,-1
1998,1998-07-12,Final,Brazil,France,0,3,,,2071.0,2038.0,-2.427,-0.0533,-1.4076,0.4855,-1
2002,2002-05-31,Group stage,France,Senegal,0,1,,,2112.0,1540.0,-0.4431,9.1097,3.7617,7.775,-1
2002,2002-06-01,Group stage,Republic of Ireland,Cameroon,1,1,,,1872.0,1663.0,2.3276,6.401,2.8785,6.5792,0
2002,2002-06-01,Group stage,Uruguay,Denmark,1,2,,,1792.0,1858.0,0.1717,1.6001,-0.7898,2.262,-1
2002,2002-06-01,Group stage,Germany,Saudi Arabia,8,0,,,1876.0,1700.0,-0.8961,3.9603,2.2094,6.957,1
2002,2002-06-02,Group stage,Argentina,Nigeria,1,0,,,2013.0,1657.0,0.9058,3.0198,2.6781,4.7879,1
2002,2002-06-02,Group stage,Paraguay,South Africa,2,2,,,1717.0,1679.0,-2.6086,-1.9892,-2.4493,-7.5295,0
2002,2002-06-02,Group stage,England,Sweden,1,1,,,1935.0,1888.0,-0.1585,0.6356,0.0082,2.6605,0
2002,2002-06-02,Group stage,Spain,Slovenia,3,1,,,1965.0,1716.0,1.5277,4.2211,1.1407,4.98,1
2002,2002-06-03,Group stage,Croatia,Mexico,0,1,,,1878.0,1815.0,0.2099,2.8548,2.5168,4.7746,-1
2002,2002-06-03,Group stage,Brazil,Turkey,2,1,,,2016.0,1755.0,-0.3826,1.7243,-7.0668,3.152,1
2002,2002-06-03,Group stage,Italy,Ecuador,2,0,,,2019.0,1678.0,-0.2599,0.2767,-0.5333,-1.8057,1
2002,2002-06-04,Group stage,China,Costa Rica,0,2,,,1565.0,1740.0,2.7812,0.3989,5.8369,2.5704,-1
2002,2002-06-04,Group stage,Japan,Belgium,2,2,,,1707.0,1838.0,0.865,2.8422,7.6977,3.2992,0
2002,2002-06-04,Group stage,South Korea,Poland,2,0,,,1693.0,1759.0,-0.7026,-1.4541,-0.4074,2.3466,1
2002,2002-06-05,Group stage,Russia,Tunisia,2,0,,,1829.0,1621.0,-1.7719,-3.445,2.0936,-1.0042,1
2002,2002-06-05,Group stage,United States,Portugal,3,2,,,1798.0,2011.0,1.354,0.2965,0.4028,1.513,1
2002,2002-06-05,Group stage,Germany,Republic of Ireland,1,1,,,1876.0,1872.0,-0.8961,2.3276,2.2094,2.8785,0
2002,2002-06-06,Group stage,Denmark,Senegal,1,1,,,1858.0,1540.0,1.6001,9.1097,2.262,7.775,0
2002,2002-06-06,Group stage,Cameroon,Saudi Arabia,1,0,,,1663.0,1700.0,6.401,3.9603,6.5792,6.957,1
2002,2002-06-06,Group stage,France,Uruguay,0,0,,,2112.0,1792.0,-0.4431,0.1717,3.7617,-0.7898,0
2002,2002-06-07,Group stage,Sweden,Nigeria,2,1,,,1888.0,1657.0,0.6356,3.0198,2.6605,4.7879,1
2002,2002-06-07,Group stage,Spain,Paraguay,3,1,,,1965.0,1717.0,1.5277,-2.6086,1.1407,-2.4493,1
2002,2002-06-07,Group stage,Argentina,England,0,1,,,2013.0,1935.0,0.9058,-0.1585,2.6781,0.0082,-1
2002,2002-06-08,Group stage,South Africa,Slovenia,1,0,,,1679.0,1716.0,-1.9892,4.2211,-7.5295,4.98,1
2002,2002-06-08,Group stage,Italy,Croatia,1,2,,,2019.0,1878.0,-0.2599,0.2099,-0.5333,2.5168,-1
2002,2002-06-08,Group stage,Brazil,China,4,0,,,2016.0,1565.0,-0.3826,2.7812,-7.0668,5.8369,1
2002,2002-06-09,Group stage,Mexico,Ecuador,2,1,,,1815.0,1678.0,2.8548,0.2767,4.7746,-1.8057,1
2002,2002-06-09,Group stage,Costa Rica,Turkey,1,1,,,1740.0,1755.0,0.3989,1.7243,2.5704,3.152,0
2002,2002-06-09,Group stage,Japan,Russia,1,0,,,1707.0,1829.0,0.865,-1.7719,7.6977,2.0936,1
2002,2002-06-10,Group stage,South Korea,United States,1,1,,,1693.0,1798.0,-0.7026,1.354,-0.4074,0.4028,0
2002,2002-06-10,Group stage,Tunisia,Belgium,1,1,,,1621.0,1838.0,-3.445,2.8422,-1.0042,3.2992,0
2002,2002-06-10,Group stage,Portugal,Poland,4,0,,,2011.0,1759.0,0.2965,-1.4541,1.513,2.3466,1
2002,2002-06-11,Group stage,Denmark,France,2,0,,,1858.0,2112.0,1.6001,-0.4431,2.262,3.7617,1
2002,2002-06-11,Group stage,Senegal,Uruguay,3,3,,,1540.0,1792.0,9.1097,0.1717,7.775,-0.7898,0
2002,2002-06-11,Group stage,Saudi Arabia,Republic of Ireland,0,3,,,1700.0,1872.0,3.9603,2.3276,6.957,2.8785,-1
2002,2002-06-11,Group stage,Cameroon,Germany,0,2,,,1663.0,1876.0,6.401,-0.8961,6.5792,2.2094,-1
2002,2002-06-12,Group stage,Sweden,Argentina,1,1,,,1888.0,2013.0,0.6356,0.9058,2.6605,2.6781,0
2002,2002-06-12,Group stage,Nigeria,England,0,0,,,1657.0,1935.0,3.0198,-0.1585,4.7879,0.0082,0
2002,2002-06-12,Group stage,South Africa,Spain,2,3,,,1679.0,1965.0,-1.9892,1.5277,-7.5295,1.1407,-1
2002,2002-06-12,Group stage,Slovenia,Paraguay,1,3,,,1716.0,1717.0,4.2211,-2.6086,4.98,-2.4493,-1
2002,2002-06-13,Group stage,Costa Rica,Brazil,2,5,,,1740.0,2016.0,0.3989,-0.3826,2.5704,-7.0668,-1
2002,2002-06-13,Group stage,Turkey,China,3,0,,,1755.0,1565.0,1.7243,2.7812,3.152,5.8369,1
2002,2002-06-13,Group stage,Mexico,Italy,1,1,,,1815.0,2019.0,2.8548,-0.2599,4.7746,-0.5333,0
2002,2002-06-13,Group stage,Ecuador,Croatia,1,0,,,1678.0,1878.0,0.2767,0.2099,-1.8057,2.5168,1
2002,2002-06-14,Group stage,Tunisia,Japan,0,2,,,1621.0,1707.0,-3.445,0.865,-1.0042,7.6977,-1
2002,2002-06-14,Group stage,Belgium,Russia,3,2,,,1838.0,1829.0,2.8422,-1.7719,3.2992,2.0936,1
2002,2002-06-14,Group stage,Portugal,South Korea,0,1,,,2011.0,1693.0,0.2965,-0.7026,1.513,-0.4074,-1
2002,2002-06-14,Group stage,Poland,United States,3,1,,,1759.0,1798.0,-1.4541,1.354,2.3466,0.4028,1
2002,2002-06-15,Round of 16,Germany,Paraguay,1,0,,,1876.0,1717.0,-0.8961,-2.6086,2.2094,-2.4493,1
2002,2002-06-15,Round of 16,Denmark,England,0,3,,,1858.0,1935.0,1.6001,-0.1585,2.262,0.0082,-1
2002,2002-06-16,Round of 16,Sweden,Senegal,1,2,,,1888.0,1540.0,0.6356,9.1097,2.6605,7.775,-1
2002,2002-06-16,Round of 16,Spain,Republic of Ireland,1,1,3.0,2.0,1965.0,1872.0,1.5277,2.3276,1.1407,2.8785,0
2002,2002-06-17,Round of 16,Mexico,United States,0,2,,,1815.0,1798.0,2.8548,1.354,4.7746,0.4028,-1
2002,2002-06-17,Round of 16,Brazil,Belgium,2,0,,,2016.0,1838.0,-0.3826,2.8422,-7.0668,3.2992,1
2002,2002-06-18,Round of 16,Japan,Turkey,0,1,,,1707.0,1755.0,0.865,1.7243,7.6977,3.152,-1
2002,2002-06-18,Round of 16,South Korea,Italy,2,1,,,1693.0,2019.0,-0.7026,-0.2599,-0.4074,-0.5333,1
2002,2002-06-21,Quarter-finals,England,Brazil,1,2,,,1935.0,2016.0,-0.1585,-0.3826,0.0082,-7.0668,-1
2002,2002-06-21,Quarter-finals,Germany,United States,1,0,,,1876.0,1798.0,-0.8961,1.354,2.2094,0.4028,1
2002,2002-06-22,Quarter-finals,Spain,South Korea,0,0,3.0,5.0,1965.0,1693.0,1.5277,-0.7026,1.1407,-0.4074,0
2002,2002-06-22,Quarter-finals,Senegal,Turkey,0,1,,,1540.0,1755.0,9.1097,1.7243,7.775,3.152,-1
2002,2002-06-25,Semi-finals,Germany,South Korea,1,0,,,1876.0,1693.0,-0.8961,-0.7026,2.2094,-0.4074,1
2002,2002-06-26,Semi-finals,Brazil,Turkey,1,0,,,2016.0,1755.0,-0.3826,1.7243,-7.0668,3.152,1
2002,2002-06-29,Third-place match,South Korea,Turkey,2,3,,,1693.0,1755.0,-0.7026,1.7243,-0.4074,3.152,-1
2002,2002-06-30,Final,Germany,Brazil,0,2,,,1876.0,2016.0,-0.8961,-0.3826,2.2094,-7.0668,-1
2006,2006-06-09,Group stage,Germany,Costa Rica,4,2,,,1881.0,1736.0,-0.3102,-0.6043,2.5388,2.2238,1
2006,2006-06-09,Group stage,Poland,Ecuador,0,2,,,1837.0,1719.0,-1.1308,-2.4582,2.9256,4.4927,-1
2006,2006-06-10,Group stage,England,Paraguay,1,0,,,1968.0,1767.0,0.8566,0.9088,1.3816,-0.2155,1
2006,2006-06-10,Group stage,Trinidad and Tobago,Sweden,0,0,,,1498.0,1874.0,3.5222,-0.8582,4.5529,1.9056,0
2006,2006-06-10,Group stage,Argentina,Ivory Coast,2,1,,,1917.0,1767.0,-4.5931,1.5114,-1.8034,1.0665,1
2006,2006-06-11,Group stage,Serbia,Netherlands,0,1,,,1801.0,1995.0,1.5571,0.616,3.2968,3.7363,-1
2006,2006-06-11,Group stage,Mexico,Iran,3,1,,,1841.0,1804.0,-0.0758,0.8075,-5.439,2.5874,1
2006,2006-06-11,Group stage,Angola,Portugal,0,1,,,1549.0,1914.0,0.7357,0.9615,2.874,0.6047,-1
2006,2006-06-12,Group stage,Australia,Japan,3,1,,,1797.0,1789.0,-0.0234,0.1988,-3.6282,1.5088,1
2006,2006-06-12,Group stage,United States,Czech Republic,0,3,,,1849.0,1964.0,0.4854,0.0911,2.2401,0.704,-1
2006,2006-06-12,Group stage,Italy,Ghana,2,0,,,1949.0,1617.0,1.3692,-0.953,-0.0376,1.379,1
2006,2006-06-13,Group stage,South Korea,Togo,2,1,,,1745.0,1582.0,1.8174,-5.6759,-1.6408,0.1698,1
2006,2006-06-13,Group stage,France,Switzerland,0,0,,,1955.0,1795.0,1.6249,1.7372,-0.1934,1.8765,0
2006,2006-06-13,Group stage,Brazil,Croatia,1,0,,,2034.0,1847.0,2.4688,-0.2294,-0.2247,1.2262,1
2006,2006-06-14,Group stage,Spain,Ukraine,4,0,,,1961.0,1781.0,1.4256,-0.7443,-1.1485,3.5929,1
2006,2006-06-14,Group stage,Tunisia,Saudi Arabia,2,2,,,1690.0,1595.0,1.5375,-1.1625,1.2452,1.7932,0
2006,2006-06-14,Group stage,Germany,Poland,1,0,,,1881.0,1837.0,-0.3102,-1.1308,2.5388,2.9256,1
2006,2006-06-15,Group stage,Ecuador,Costa Rica,3,0,,,1719.0,1736.0,-2.4582,-0.6043,4.4927,2.2238,1
2006,2006-06-15,Group stage,England,Trinidad and Tobago,2,0,,,1968.0,1498.0,0.8566,3.5222,1.3816,4.5529,1
2006,2006-06-15,Group stage,Sweden,Paraguay,1,0,,,1874.0,1767.0,-0.8582,0.9088,1.9056,-0.2155,1
2006,2006-06-16,Group stage,Argentina,Serbia,6,0,,,1917.0,1801.0,-4.5931,1.5571,-1.8034,3.2968,1
